Date,Type,Details,Fatality
Jul-87,F-16A Block 15J," 	
	
Collided with F-16A (80-0597) over Indian Springs, Nevada killing Major Michael J. Lotti.",1
Jun-93,F-16A Block 15J ADF," 	
	
Mid-air collision with F-16B (82-1042) during a training sortie including BFM. The aircraft landed safely.",0
Apr-91,F-16A Block 15J," 	
Lost due to bird strike of a turkey vulture near Fort Smith, Arkansas",0
Nov-83,F-16A Block 15K," 	
	
Crashed on the Utah Test & Training Range killing Captain Christopher Barber. The unit was flying night mission. The pilot accidently perceived the flashing light on a train engine as the strobe of his flight lead and attempted to rejoin on the light with no radar lock.",1
Dec-93,F-16A Block 15K,"Collided with an F-15A (75-0054) of the 122th FS over the Atlantic Ocean off Brunswick, Georgia. The pilot, Lieutenant Colonel John Michael Steward, was killed in this mid-air collision. The F-15 pilot ejected safely and was recovered.",1
Jun-94,F-16A Block 15k ADF," 	
Written-off in a crash while making a fuel stop at Buckley ANGB, Colorado. When the aircraft lifted off the runway it veered off to the right with the pilot ejecting immediately and landing safe. Cause was determined as non proper trim settings applied for take-off.",0
Mar-90,F-16A Block 15K ADF," 	
This was reported as the first crash of an F-16A ADF. During a functional check flight, the engine stalled and the F-16 crashed 4 miles Northeast of Wendover, Utah. The pilot, Captain Daniel A. West, ejected safely.",0
Nov-85,F-16A Block 15K,"Collided with F-16B (82-1029) over the Nellis Range, Nevada. Captain Jerry Noble Allison was an A-10 pilot on an incentive ride in the F-16B back seat and was killed.",1
Jul-92,F-16A Block 15K," 	
Impacted the ground near Curran, Illinois at 4:00 hours. The pilot, Captain Donald E. Leckrone, Jr., ejected, but out of the designed flight envelope of the seat and was consequently killed.",1
Aug-89,F-16A Block 15L,"Lightning struck the aircraft near the centerline tank. The resulting fire forced the pilot to eject near Homestead AFB, Florida just short of the runway.",0
Nov-84,F-16A Block 15L," 	
	
Lost in a crash at Torres de la Alameda, Spain killing First Lieutenant Steve Vick",1
May-89,F-16A Block 15L," 	
	
Flew into the Gulf of Mexico. The pilot ejected safely.",0
Sep-88,F-16A Block 15M," 	
	
The aircraft suffered an in-flight lightning strike while flying together with #82-0994. Although the FBW system was damaged and reduced to one channel, the aircraft made it back to base and was flying again soon after.",0
Jun-84,F-16A Block 15M," 	
	
Impacted the ground near Vilaruengo, Spain. Pilot, 1st Lieutenant Scott Trapp, was killed in the mishap.",1
Jul-84,F-16A Block 15M," 	
	
Blew a main landing gear tire upon landing with severe damage to the tail and nose. It was repaired and put back into service.",0
Oct-92,F-16A Block 15M," 	
Smashed between the east & westbound lanes on I-84 near South Weber, Utah. The pilot ejected safely. Cause of the crash was an engine nozzle failure immediately after take-off from Hill AFB. The pilot attempted to land at Hill, but thrust was insufficient",0
Aug-93,F-16A Block 15N ADF," 	
	
Crashed at the Cape May County Airport, New Jersey. The aircraft was owned by the Vermont ANG. The aircraft suffered a dual engine stall and the pilot engaged in a simulated flame out (SFO) approach and succeeded, but could stop before the end of the runway and ejected safely before the aircrfta left the runway.",0
Sep-88,F-16A Block 15N ," 	
Crashed onto the Great Salt Lake, Utah. The aircraft suffered an in-flight lightning strike while flying together with 82-0966. The other F-16 recovered safely at Hill AFB, but was missing the horizontal stab and most of the ventral fin on one side. The airframe was never located since it sank through the lake bed and only small pieces were recovered. The pilot ejected safely.",0
Oct-86,F-16A Block 15N ," 	
	
Crashed near Zaragosa, Spain. The pilot ejected safely",0
Mar-91,F-16A Block 15N ADF," 	
	
During a BFM exercise the aircraft departed controlled flight at 8:40 hours and crashed roughly 22 miles southeast of Sells, Arizona. The pilot ejected succesfully.",0
Jan-88,F-16A Block 15P," 	
	
Crashed near Madrid, Spain. The pilot, Lieutenant Colonel David F. Shontz, was unfortunately killed in the mishap.",1
Jul-95,F-16A Block 15P," 	
	
The airplane crashed near Parks, Arkansas with the pilot - Dean Fontenot - ejecting safely. The cause of the crash was an engine failure.",0
Nov-96,F-16A Block 15P,"Crashed about 15 miles north of Tulsa at Skiatook, Oklahoma during a training sortie from its home base at Fort Smith, Arkansas. The pilot ejected safely but suffered only minor injuries.",0
Nov-85,F-16B Block 15K,"Collided with F-16A (82-0940) over the Nellis Range, Nevada. Captain Jerry Noble Allison was an A-10 pilot on an incentive ride in the F-16B back seat and was killed.",1
1-Nov,F-16B Block 15K ADF," 	
Arizona ANG almost lost a two seater on this day when it belly landed at Tucson IAP on its centerline tank which caught fire but did not burn the aircraft. This aircraft was repaired and put back into service. Damage was mostly done to the centerline tank, left stab and a missile. The pilots, Lt. Col. Kent Dukes and Italian backseater, Capt. Salvatore Trincone, were uninjured.",0
Aug-97,F-16B Block 15L," 	
Crashed into the Gulf of Mexico 7 miles south of Destin, Florida. The aircraft was based at Eglin. Both crew, Major Paul A. Krause and Captain Stephen E. Gurney ejected safely and were rescued by boat. The plane was returning to Eglin after flying as a chase plane in a mission with an Air Force F-15. Cause was that the 4th stage seperated at a speed past mach.",0
May-86,F-16B Block 15M," 	
	
Crashed onto the Utah Test & Training Range after a 2v2 dogfight at low level. 1st Lt Chris Wilson ejected safely.",0
Dec-91,F-16B Block 15M ADF,"Crashed in Panama, killing both pilots, Lt. Col. Jeff Dennis and SSgt. Chris Ford. After a 10-day search, the wreckage of the aircraft was never located.",1
Jun-93,F-16B Block 15N ADF," 	
Crashed at Peoria, Illinois due to a mid-air collision with F-16A (82-0916) during a BFM training sortie. The F-16A came up from below and impacted the F-16B. The crew ejected with only minor injuries while the F-16A landed safely.",0
May-84,F-16B Block 15N," 	
	
Destroyed in a crash on Utah Test & Training Range. The pilot, Lieutenant Colonel Richard Anderson, was killed. The aircraft suffered a controlled flight into terrain (CFIT).",1
Dec-87,F-16A Block 15Q," 	
Crashed east of Madrid (Pastrana), Spain. The pilot ejected safely. The shaft through the fuel pump separated and consequently fuel wasn't getting to the engine which caused it to stop. The plane pancaked into the ground.",0
May-92,F-16A Block 15Q," 	
	
Pilot ejected safely from his crashing aircraft while on a training mission. The aircraft came down in the Stony Military Operating Area, 250 miles from Anchorage, Alaska. The aircraft was on deployment from its home base of Bergstrom AFB, Texas.",0
Dec-92,F-16A Block 15Q," 	
	
Ingested a bird while en route to a range from Bergstrom AFB, Texas. The pilot, Lt. Col. Jimmie G. Mills, pulled up to gain altitude, but wingman said to eject when he saw fire in the engine. He ejected safely.",0
Nov-89,F-16A Block 15Q," 	
	
Destroyed near Homestead AFB, Florida. The pilot, Captain Anthony Montecalvo, ejected safely.",0
Feb-86,F-16A Block 15Q," 	
	
Engine failed over the Avon Range. Aircraft was low altitude and speeds greater than Mach so pilot pulled back on stick to gain altitude. After several unsuccessful attempts to re-light the engine, the pilot was forced to eject. It is suspected, not confirmed, that the aircraft ingested a bird. The remains of the aircraft were returned to base for investigation.",0
Jan-91,F-16A Block 15R," 	
	
Crashed 19 miles off Homestead AFB, Florida at 15:00 hours. The aircraft was lost due to a burn-through in the engine and airframe. The pilot, Captain Charles Q. Brown, ejected when ATC personal saw a fire plume coming from the side of the aircraft. It was later determined that during a flame holder assembly change, a maintenance rag was left in the afterburner section causing a hot spot. The airforce F-16 units then began counting rags taken out on a daily basis. The aircraft was viewed with the vertical stabilizer above the water as it crashed in shallow water at the end of the runway.",0
Feb-93,F-16A Block 15R,"Aircraft crashed on McMullen range (Yankee/Dixie) near Tilden, TX. The aircraft crashed after the 4th pass on the bomb circle dropping BDU-33's. After the 3rd stage compressor let fly, this caused a massive fire/explosion and failure of the tail. The aircraft departed controlled flight at 1,000 AGL and pilot ejected safely 70 miles south of San Antonio, TX. This jet had only a centerline bag and it stayed on. The pilot was cleared by the accident board and flew successfully for 2 1/2 years after the incident and was promoted",0
Mar-87,F-16A Block 15S ,"Pilot Captain Larry C. Owsowitz ejected safely and the aircraft hit the water 30 nm East of Hachinohe, Japan. Cause of crash was failure of the high pressure turbine.

""The cause of the crash was a failure of a spacer between the 13th stage rotor and stator at military power. The 13th stage rotor subsequently failed and punctured the engine case in several places. I attempted 3 restarts that were unsuccessful for obvious reasons."" - Larry C. Owsowitz, Lt.Col. (ret)
The crash happened while the 432nd TFW was converting to the F-16C/D. As aircraft 85-1432 had been marked 432 TFW aircraft 83-1115 had it's Wing King markings removed to prevent any confusing between the two aircraft. The tail was salvaged from the ocean and later used for BDR training.",0
Jan-89,F-16A Block 15S ," 	
	
Impacted the ground by Lake Okeechobee near Avon Park range. The pilot, Lt. Mark Pugh ejected safely. It was being flown on a surface attack/tactics mission and he was number four in the formation. While egressing the target area at 515 knots his canopy struck an approximately 8-pound turkey buzzard directly in front of the HUD. The bird's remains penetrated the canopy (this was the first USAF penetration of an F-16 canopy) and hit Pugsly in the chest knocking his left hand onto the ejection handle and his right arm off the sidestick back against the bulkhead. He could only see a small gap near his left hand on the ejection handle which seemed like a good idea so he ejected. The airplane continued and crashed off-range killing a cow. Pugsly's injuries were confined to bruises and lacerations from the canopy plexiglass. He flew again in several weeks and continued as an F-16 LANTIRN and F-15E RTU Instructor Pilot.",0
Apr-85,F-16A Block 15S ,"Hit the ground near Fort Campbell, Kentucky killing Captain Ed Johnson.",1
Oct-90,F-16C Block 25,"Suffered a structural failure during a flight test (flutter tests) from Eglin AFB, Florida. The test was to assess the structural integrity of the F-16 while carrying a load of 6 AMRAAM's. The aircraft was flying inverted at 2,000 feet above the Gulf of Mexico with an airspeed of Mach 1.2. The pilot noticed a serious problem with the aircraft and rolled it back to level flight, but experienced a very hard time to keep it levelled. The left flaperon was sticking up like a sharp fin in the airflow and rudder was also missing from the aircraft. The pilot, Captain Joseph A. Lanni, gained control of the aircraft and checked its controllability. Captain Lanni brought the aircraft back to Eglin AFB with no further problems, mainly because he was already lined up with the runway and the fact that the chase-plane (F-4) pilot kept telling him to stick with it. The pilot had to keep 25 lbs of constant pressure to the stick to keep the aircraft straight. The aircraft was repaired afterwards. Maintainers believe the rudder imploded from delamination since they never found a piece of it anywhere. The jet tried to kill the same pilot 3 more times after this event - 2 sudden decompressions at altitude and when the right flaperon did the same thing, only this time tore off and smashed into the stabilator. The pilot put it down at Tyndall AB every time.",0
Jan-02,F-16C Block 25A,"Crashed in a heavily wooded area near a highway at Warren Grove Weapons Training Range, New Jersey. Major Robert G. McNally ejected safely.",0
Jan-97,F-16C Block 25A,"The aircraft crashed on the Barry M. Goldwater range 2.5 miles from Gila Bend, Arizona after suffering a bird strike. The pilot, Capt. Robert Churchill, ejected safely at 15:10 hours.",0
Aug-00,F-16C Block 25A," 	
	
The pilot, Major David G. Haar, ejected safely at 1,700 feet over the Atlantic one mile off the coast of Brigantine, New Jersey. The aircraft had engine problems at 15:40 hours, while on a flight of four aircraft. The pilot was picked up by a police boat and transferred to a Coast Guard ship. At 16,000 feet the pilot felt vibrations and immediate deceleration. The cause was a failure and subsequent liberation of a turbine blade from the 3rd stage of the turbine section resulting in damage to the oil system.",0
Sep-92,F-16C Block 25A," 	
	
Crashed onto the Barry M. Goldwater range, Arizona. Aircraft experienced an engine failure due to FOD while participating in an ACM IUT sortie. The aircraft was flown by Capt. Eddie ""Lizzard"" Moran USMC, an F/A-18 pilot on exchange to the USAF. The engine had just been reinstalled in the airframe after returning from a civilian contractor located in Texas. This was the second flight after the installation. The first flight was flown by a student on an instrument training sortie. A tool was left inside the shroud that protects the levers that control the variable compressor blades.",0
May-07,F-16C Block 25B,"Released some flares during an exercise. The flares were deployed below the minimum AGL and started a fire on the test range which eventually consumed up to 18,000 acres and destroying four houses.",0
Jul-87,F-16C Block 25B,"Released some flares during an exercise. The flares were deployed below the minimum AGL and started a fire on the test range which eventually consumed up to 18,000 acres and destroying four houses.",0
Sep-90,F-16C Block 25B," 	
Wingman observed fire coming out of engine during a training sortie. The pilot, Capt. Richard Setzer, was forced to eject. The pilot safely ejected over the Saudi Arabian Peninsula (Abu Dhabi). It was a pre-war loss and wreckage was recovered in attempt to find spare parts, but ""none"" were usable.",0
Apr-05,F-16C Block 25B,"Came in to low for landing and struck some runway lights which caused the main landing gear to collapse. Colonel Douglas Fick stayed with the aircraft and was uninjured. The landing happened in severe weather conditions which made the pilot to abort two consequent landing attempts. Trying for a third attempt, he came in too low.",0
Jun-04,F-16C Block 25B,"Belly landed at Luke AFB. Extremely minor damage, repaired quickly.",0
Apr-06,F-16C Block 25B," 	
The plane crashed at 09.55 hours local time. The pilot safely ejected right after flames were seen at the rear end of the jet. The F-16 went down in the Northwest Valley, in a farm field near Loop 303 and Indian School Road. The accident occured shortly after the jet took off from Luke AFB for a two-ship training mission. The pilot, 26-year-old Captain Jason Attaway, ejected safely. An explosion of the Pratt & Whitney engine was blamed for the crash.",0
Mar-01,F-16B Block 15Q,"Aircraft suffered a class A mishap when it ingested a pelican at Eglin AFB and the motor shelled out. The aircraft landed safely at Duke Auxiliary Field and fire broke out. Both pilots managed to walk away without injury but aircraft had major fire damage. The aircraft is now being used on the test range at Eglin AFB, Florida.",0
Jul-94,F-16B Block 15S,"Crashed at about 10:20 hours some 100 miles from Kelly AFB, Texas at the Crystal Military Operating Area after a bird strike. The incident was during a training mission. Both crew ejected safely and where treated for minor injuries.",0
Sep-99,F-16D Block 25A,"Crashed through the fence at the end of the runway at Luke AFB, Arizona. Overshot the runway after touchdown. Sheared the nose and undercarriage off. The aircraft landed without battery power, so the tail hook nor the brakes operated. The pilot, Major Sharon J. Preszler, ejected safely.",0
Jan-04,F-16D Block 25B," 	
Canopy inadvertently jettisoned. Damage was repairable.",0
Feb-95,F-16D Block 25B," 	
Collided with F-16C (88-0478) at Luke AFB, Arizona. Aircraft only lost its nosecone and was repaired.",0
Unknown,F-16C Block 25C," 	
	
Damaged in a fire involving the JFS. Need to confirm exact date of loss which was in 2007 or 2008.",0
Oct-01,F-16C Block 25C,Major Yarema Sos ejected while the landing gear collapsed on touch-down at Luke AFB. The aircraft came down three quarters of the way down the runway. The F-16 was caught in the turbulence of the aircraft before him and hit the ground well over the structural design limit of the aircrafts landing gear system resulting in a collapse. ,0
Feb-91,F-16C Block 25C,"Had an engine fire coming off a target over Iraq. The pilot, Capt. Scott 'Spike' Thomas, ejected and was rescued.",0
Aug-88,F-16C Block 25C,"Shortly after the pilot, Capt. Robert F. Weiland Jr. ejected the aircraft impacted an 803 foot radio tower. The F-16 hit the tower about 500 feet above the ground. Possibly the Shaw AFB jet that crashed causing injuries to two people on the ground. Aircraft was on a training mission.",0
Feb-86,F-16C Block 25C,Flew into the Gulf of Mexico.,0
Jan-89,F-16C Block 25C,"Damaged beyond repair in an aborted takeoff from Shaw AFB after multiple bird strike. The pilot was injured in the mishap. Eye witness account by Scott Gandy ""I witnessed the mishap from in front of Hanger 1200. Aircraft had birdstrikes right after rotation, pilot then planted airplane on runway and attempted a departure-end barrier engagement. The cable bounced after being run over by the NLG wheel and struck the C/L tank, rupturing it. The spilling fuel was then ignited. The pilot ran the canopy up, over and down the radome he went. It seemed like the jet burned up in two minutes.""",0
Jul-88,F-16C Block 25C," 	
Crashed and sank to the bottom of the Atlantic Ocean near Georgetown, South Carolina. Captain Paul Stone ejected safely and was released from the hospital the same night. Aircraft was participating in a combat exercise at the time.",0
Nov-86,F-16C Block 25C," 	
	
Crashed near Shaw AFB, South Carolina. The pilot, Lieutenant Colonel Eric Oliver, didn't survive the crash.",1
Sep-03,F-16C Block 25C,"Left main gear collapsed while landing at night at Luke AFB, Arizona.The center line tank and pod mounted on the left wing sustained the most damage but was repaired. Aircraft was temporarily on loan to the 61st FS at the time of the crash but still owned by the 309th FS.",0
Unknown,F-16C Block 25C," 	
Ingested a bird that caused engine failure sometime during 1988. Went off the runway. Nose gear broke and intake ploughed through soil. Aircraft was repaired, but never did go to combat as it didn't fly as well after this mishap.",0
Sep-88,F-16C Block 25D," 	
Hit the ground near Sumter, South Carolina. The crash killed the man who owned the house that the jet hit",1
Dec-95,F-16C Block 25D," 	
The F-16 crashed at 10:20 hours after engine failure. The pilot, Lieutenant Colonel Joseph A. Abbott, ejected safely. The mishap took place on routine training mission about 12 miles southwest of Winslow, Arizona. Abbott was on temporary duty from Cannon AFB, New Mexico to Luke AFB.",0
Jun-97,F-16C Block 25D,"California ANG F-16 crash near the Saline Valley, California. The pilot, Lt Steven R. Jennings, ejected but dislocated his elbow. A short time after the crash the pilot was picked up by a NAWC China Lake HH-1N. Pilot probably experienced a short G-LOC and regained conscienous just in time to eject before impacting the ground around 14:00 hours.",0
Oct-86,F-16C Block 25D,"The pilot, 1st Lieutenant Ralph Cyr, tried to land in bad foggy weather during night at Shaw AFB, South Carolina. The aircraft impacted some pine trees not far from Shaw AFB, avoiding a trailer park. The pilot mistakenly saw street lights for the runway lights and was able to light the afterburner to avoid an impact in the trailer park but was already to low to avoid a crash. The lieutenant was killed in the accident.",1
Dec-89,F-16C Block 25D," 	
Collided with F-16C (#84-1293) over Maxdorf, Germany. One pilot, First Lieutenant Steve 'Sunny' Sundstrom (in 84-1293) died, the other pilot, Major Rodd Kallman ejected safely. Both were engaging F-15s in BFM when in their final engagement they 'bellied' each other trying to pursuit the same F-15. Lack of situational awareness was the cause of this collision. Both aircraft crashed around 16:12 hours. Lt. Sundstrom did eject, but the heavily shaking aircraft made the seat also to be heavily moving and getting entangled with the chute lines, which prevented it from deploying. The pilot wasn't able to disentangle himself before impact.",1
Jan-92,F-16C Block 25D,"Was returning from a practice firing sortie of a M61A1 20mm cannon, and in the process of beginning touch-and-goes. Major David Ternes of the 127th FS was bringing the aircraft into McConnell AFB when he experienced trouble at 11:06 hours. Ternes was forced to eject at 150 feet and two miles from base. The aircraft tore through a house nearly hitting the sole occupant. Both people survived uninjured. Cause was a lack of engine response.",0
Jul-99,F-16C Block 25D ,"Major Samuel D'Angelo was killed when his F-16 impacted the ground near Sebring, Florida on the outskirts of the Avon Park Bombing Range. The aircraft was on a low-level training mission. The accident occurred at 11:36 hours. It is believed based on evidence that cause was a bird strike to the canopy and pilot.",1
Oct-87,F-16C Block 25D," 	
	
Flew into the waters in the Black Sea",0
Mar-08,F-16C Block 25D,"Lost at 12.17h local time just south of Alamo Lake, Arizona. The aircraft was on a two ship air-to-air student training mission at the time. Sadly the pilot, Second Lieutenant David J. Mitchell of the 112th FS did not survive. He had 237 flight hours of which 26 were in the Viper. Mitchell would have graduated Initial Pilot Training in June of 2008.",1
Sep-97,F-16C Block 25D," 	
Collided with F-16D (#84-1320). Damage was to the left wing, horizontal stabiliser, fuselage, canopy and engine. Estimated at 1.15 million in damage and was repaired.",0
Feb-14,F-16C Block 25D,"Aircrew was practicing low approaches and impacted landing approach lights. Suffered some damage to the landing gear, the leading edge flaps, right stabiliser and centerline tank. Thought to be repairable, the aircraft failed a canopy sill longeron Inspection which oddly enough was not related to the mishap event. Both the left and right canopy sill longerons were cracked severely the aircraft was shipped it to AMARG.",0
Jan-07,F-16C Block 25D," 	
The aircraft crashed near Owens Lake in remote eastern California. The pilot ejected safely and was not hurt. An engine failure caused the pilot to bail out during a training exercise.",0
Sep-97,F-16C Block 25D,"Collided with F-16D (#84-1320), but made it home and was repaired",0
Oct-88,F-16C Block 25E,"Pilot landed aircraft short of runway at Hahn AB, Germany after an engine failure. The aircraft came to a stop on the runway and the pilot was able to egress by lifting the canopy from the damaged canopy frame. Pictures show that the jet was destroyed and it broke after the canopy section. But it nevertheless was repaired with parts of 3 other airframes and serves as a static now.",0
Jan-90,F-16C Block 25E,Aircraft had a leading edge malfuntion during flight which ripped off the majority of edge. It landed safely and was repaired.,0
Dec-89,F-16C Block 25E," 	
Collided with F-16C (#84-1293) over Maxdorf, Germany. One pilot, First Lieutenant Steve 'Sunny' Sundstrom (in 84-1293) died, the other pilot, Major Rodd Kallman ejected safely. Both were engaging F-15s in BFM when in their final engagement they 'bellied' each other trying to pursuit the same F-15. Lack of situational awareness was the cause of this collision. Both aircraft crashed around 16:12 hours. Lt. Sundstrom did eject, but the heavily shaking aircraft made the seat also to be heavily moving and getting entangled with the chute lines, which prevented it from deploying. The pilot wasn't able to disentangle himself before impact.",1
Oct-06,F-16C Block 25E,"Experienced an engine fire during takeoff roll at Luke AFB, Arizona but aborted before lift off. Fire crews sprayed foam on the aircraft and the pilot was treated at the scene. Early reports said the pilot ejected, this turned out not to be the case as images from the scene show the canopy still in place. Early reports also incorrectly reported that the aircraft tookoff and returned to Luke AFB with an emergency landing. Excerpt from the crash report: ""After being cleared for takeoff, Colonel Sherman taxied to the left side of the runway accompanied by Captain Cuadra on the right side. Upon ignition of the afterburner, Colonel Sherman heard an explosion and noticed that a fire had started on his aircraft. His wingman transmitted ""Fire"" on the radio and Colonel Sherman applied full brakes and initiated the appropriate critical action procedures to abort the takeoff due to fire and preparing to get out of the stopped, but burning aircraft. He was able to open the canopy and safely exit the F-16. Members of the Luke AFB fire department extinguished the aircraft fire"". Cause was determined to be a failure of the 3rd stage when the disc fractured putting three holes in the airframe. The resulting fire burned the entire aft section of the aircraft. ",0
Jan-88,F-16C Block 25E," 	
The aircraft struck a landing light tower during night operations at Hahn AB, Germany. Aircraft was low in the rain at night and was forty feet short of the threshold for the runway. The left MLG was sheared off. It skidded to a stop on the runway and the pilot ground egressed without injury. It was repaired at Hahn and returned to service.",0
Sep-03,F-16C Block 25E,"Crashed at Fort Polk, Louisiana on a routine training mission. Fatigue failure of an engine blade at the first stage caused imballance which lead to all blades on the first stage being torn out. Captain Louis A. Davenport was able to eject safely and flew again 12 days after. Wreckage barried itself in the ground in a forest.",0
Feb-99,F-16C Block 25E,"Went down just before 10:00 hours at the Barry M. Goldwater range, about seven miles south of Gila Bend, Arizona. The student pilot, First Lieutenant Esther Obert, radioed that she was having aircraft problems. She was in a three ship formation. Esther ejected shortly after. All Luke AFB F-16's were grounded for safety checks. Cause of the crash was numerous cracks in the afterburner wall which caused fire to spread.",0
Jun-00,F-16C Block 25E," 	
First Lieutenant Doyle Pompa ejected safely at 7:45 hours. The location was fourteen miles southwest of Sells, Arizona on the Barry M. Goldwater range. The pilot was engaged in an air-to-air fighting training. It was later revealed that the student pilot without realizing, pulled the throttle into the cut-off location during the intensity of the exercise. An airstart was performed, but seemed unsuccessfull due to the pilot applying the Critical Action Procedures (CAPs) incorrectly. All Luke based F-16's were grounded as a result. The mishap was not a fleet wide problem, so flying resumed on June 20th.",0
Dec-98,F-16C Block 25E," 	
Major Will Sparrow ejected at 15:30 hours over the Barry M. Goldwater range about 40 miles west of Gila Bend, Arizona. The pilot, who was on a training mission, ejected safely.",0
Dec-06,F-16D Block 25C,The aircraft crashed at 8:30 hours just east of Highway 85 on the Barry M. Goldwater Range. Both crew ejected safely. The F-16 was on a training flight with an instructor and a student pilot.,0
Sep-97,F-16D Block 25C,"Collided with an F-16C (84-1286) from the same squadron over the Atlantic just off the coast. The two aircraft were to rendezvous just after take-off. There destination was Whiskey-107, an ocean training area located 40 miles from Atlantic City. One crew member was rescued at 21:15 hours in good shape. The other crew member was picked up at 21:25 hours and was taken to a trauma center where his condition was stabilized. He had suffered a gash to his head. Damage to the F-16C was to its left wing, horizontal stabiliser, fuselage, canopy and the engine. Damage to this aircraft is estimated to be $1.15 million worth. The F-16D was recovered from the ocean but is a total write off. The aircraft was valued at $16.3 million at the time of the crash. The aircraft belonged to the New Jersey ANG. Surprisingly, blame for the accident was placed on both pilots. The F-16D pilot thought the other aircraft was miles ahead. By the time he spotted the other aircraft it was too late. Lack of communication between both pilots contributed to the accident, as well, both aircraft had their strobe lights turned off. Both pilots were grounded.",0
Aug-90,F-16D Block 25C,"The aircraft crashed around 11:00 hours 6 miles out of Charleston AFB. The pilot, First Lieutenant Tortsen K. Arnold, and his back-seat IP, Lieutenant Colonel Gregory W. Lewis, were attempting an IFR emergency landing on runway 15. The engine began to fail while flying in the warning areas east of Charleston and quit totally on short final. The weather precluded an SFO landing from high key. The official cause of the accident was 'undetermined' but most likely fuel contamination from the fuel received earlier from a KC-135 AAR as determined by the investigation board. Both pilots ejected safely.",0
May-06,F-16D Block 25D," 	
	
Due to a oxygen mask disfunction, the second pilot was cut from oxygen during the climb-out. He suffered severe hypoxia and died by this cause.",1
Oct-09,F-16D Block 25E,"Made an emergency landing short of the runway at Wickenburg municipal airport at approximately 10:30h after losing engine power. Both crew exited the aircraft safely. Could be repaired, but since it's an older block 25 airframe it probably won't be fixed.",0
Apr-08,F-16D Block 25E,"Belly landed at Gila Bend Auxiliary Field, Arizona while returning from a training mission. Pilots were one instructor pilot and one pilot training to become an instructor pilot. As a precaution, both pilots were taken to Luke AFB medical facility.",0
Jun-90,F-16D Block 25E,"Collided with a German glider (H101 Salto glider, D-2195) ten nautical miles north-north-west of Sembach, Germany. The glider pilot was killed, the F-16 was barely damaged and easily repaired. The pilot of the F-16 was Captain Chris Luithly, but he was not the lead in the flight that was returning from Ramstein to Hahn AB.",1
Feb-91,F-16C Block 25E,"Crashed killing the pilot, Capt. Dale Thomas Cormier. Pilot was attempting to land at Al Dhafra AB, United Arab Emirates. It was a non-combat loss. The pilot never ejected.",1
Jun-90,F-16C Block 25E,"Suffered an serious undercarriage fire and was rebuilt by the 649th CLSS at Hill AFB, Utah returning to service in 1995.",0
Mar-88,F-16C Block 25F," 	
Crashed into a house in Forst, Germany. The pilot, First Lieutenant Tom E. Doyle, was killed along with one civilian on the ground. The pilot stayed with the aircraft to avoid hitting the center of the town. Unfortunately, he could not avoid a house on the outskirts of the town, killing himself and the brother of the local 'Bergermeister'. The local citizens concider the pilot a hero for this action.",1
Feb-91,F-16C Block 25F,"Shot down during Desert Storm by SAM. The pilot, Capt. William Andrews, ejected and became a POW, but was released eight days later after the end of the war. The F-16 was hit by a SA-16 when flying a low-level sortie. Awarded the Air Force Cross for preventing missile shooters from getting a wingman. A UH-60A (78-23015) was shot down trying to rescue the F-16 pilot. Five of its crew died while three where taken prisoner. The aircraft carried nose art at the time applied for the war. Art was a blond woman in a white bikini lying sideways on the right side of the aircraft below the canopy. Before the aircraft was destroyed it flew 43 combat missions.",0
Jun-88,F-16C Block 25F,"Collided with F-16C (#85-1401) over Bodenheim, Germany. One of the pilot ejects safely, however the other pilot was killed. Captain Bob McCormack ejected safely, while Captain Mike Crandall died in the mishap.",1
Sep-87,F-16C Block 25F," 	
Crashed between Gunzenhausen and Pleinfeld, Germany after an engine failure. The pilot ejected safely.",0
Jun-88,F-16C Block 25F," 	
Collided with F-16C (#85-1395) over Bodenheim, Germany. One of the pilot ejects safely, however the other pilot was killed. Captain Bob McCormack ejected safely, while Captain Mike Crandall died in the mishap.",1
Oct-92,F-16C Block 30,,0
Nov-87,F-16C Block 30,Went off the runway during a landing because it was caught in the jet wash of an F-111. Pilot was fine but the aircraft had a good record of code 1 prior to this mishap.,0
Jun-11,F-16C Block 25F,"The F-16 crashed around 17.30h local time near Caliente, Nevada. The pilot, Capt. Eric Ziegler, didn't eject and was subsquently killed. The F-16 was participating in an air-to-air combat training mission. The exact cause is still under investigation.",1
Sep-88,F-16C Block 30,"Crashed near Iwate, Japan. The pilot was able to eject safely. A quill shaft between the main fuel pump and the Main Engine (Fuel) Control failed resulting in a flamed out engine that was unable to be restarted.",0
Jan-91,F-16C Block 25F,"Crashed 75 miles north of Las Vegas, in the Nevada Desert. The pilot ejected safely. The crash was caused by an engine failure, specifically due to high time engine being installed in the jet to ""get more hours out of it"" before sending it to depot for major overhaul.",0
Dec-86,F-16C Block 25F,"This aircraft had a ADG failure on December 4, 1986 had to IFE into Goodyear airport. Student pilot in a four ship formation had to fly around a Beachcraft Bonanza on the runway, touched down and skidded onto the overrun at the end of the runway. The local airport Fire Department put out the fire in the brakes. Aircraft engine was replaced and flew back to Luke on December 8, 1986. No damage to the airframe.",0
Jun-87,F-16C Block 30,"Flew into the ground at Weselberg, Germany killing the pilot, 1st Lieutenant John Holmberg. This was near Ramstein AB.",1
